feature,importance,std,frequency
CO,0.09797422940488526,0.031285355671313485,5610
C=O,0.08440434459941022,0.0488949869582732,5395
CC,0.07924124915221495,0.017087706441014636,7380
CN,0.06282821665272066,0.022113916209091207,5477
C1CNC1,0.05677039065947222,0.056503139235872885,754
C,0.04908849625106158,0.014979939201809919,6066
C1=CC=CC=C1,0.03678478352439399,0.009818770808751879,4880
C1CCOCC1,0.03374964627171426,0.024133003737632427,530
C1CCCCC1,0.020127583253696516,0.009918904699375486,1873
C1CCCC1,0.019795485883610447,0.023874849965478697,1163
CF,0.019646529168337284,0.011980272665145876,1118
C1=CCCCC1,0.019442150703051705,0.010278351006630217,696
CCl,0.018954814225672897,0.003829827522704634,1262
C1=CCC=CC1,0.01715804258666,0.020149772459341197,677
C1CSCN1,0.01567542672577297,0.021483725050872166,310
C1=CNCSC1,0.015483137084292714,0.02595913275753956,343
C=C,0.014487142627994738,0.004999682635979253,667
C=N,0.014131563916786877,0.01541548709716337,438
C1CCNCC1,0.013602004926207204,0.005056109138330036,794
CS,0.012526649226225196,0.0038905393822926183,825
N,0.010761290364598473,0.004060061657802462,1059
C[NH3+],0.009990604164897427,0.0057616220030995815,253
C1CCNC1,0.009104750679805382,0.002659362208800153,603
NO,0.008155709777338442,0.010797941277166453,272
C1=CSC=N1,0.007634762667726589,0.010802119803593064,251
C1=CC=NC=C1,0.007592682592670313,0.002108275065749972,359
C1CC2CCNC(C1)C2,0.00677449223224596,0.005358035939627841,204
C1CNCCN1,0.006661095326242923,0.002074847546068286,492
C1=C[NH]C=N1,0.006277902343213401,0.002374510718449704,228
C1CNCNC1,0.005974505544055238,0.00613854735637097,112
[NH4+],0.005667915171922301,0.004202647068507658,227
C1=CCCC=C1,0.005486339469893724,0.0020576670483575237,172
C#N,0.005235950262863993,0.0018695246061686862,172
C1=CNCC1,0.005186078138969764,0.0031894930951761775,240
C1CCOC1,0.005059549925263031,0.0018937381098299208,329
C1=CN=CN=C1,0.004982059230426246,0.0028813118532186994,146
S,0.004421579644865558,0.0029071021014723283,481
O=S,0.004284477998092129,0.0029013536981284385,477
C1=NCCN1,0.004272764518708507,0.0015594302259086849,95
CBr,0.00413619461765098,0.0013775455980462076,139
C1CCCCCCOCCCCCC1,0.004084128482660434,0.005790511166498426,70
C1COCO1,0.003901121003824265,0.002486881875338437,287
C1CC1,0.0037178497975767695,0.0012554810515243054,286
C1=CSC=C1,0.003575933555118412,0.001423751451034294,124
C1=CCNCC1,0.0035471896495047153,0.0022761187289661133,169
C1=C[NH]N=C1,0.0035272372073622176,0.001479151142683868,90
C1=CNC=CC1,0.0035103319283136137,0.0017942445226298749,69
NS,0.0035052758019225696,0.0022776474462877635,235
[NH3+][O-],0.003174498834326558,0.0022437209586268717,165
NN,0.003126367359273985,0.0014538907411180406,108
C1=COCCC1,0.002961602626623128,0.001627117432668644,73
C1=CCNC=C1,0.002887528890885592,0.0013851572258045304,81
C1=COC=C1,0.00266828832805576,0.0016294338002907178,130
C1=CC2CCNC(C1)C2,0.0025604949792481,0.0019432382184462825,101
C#C,0.0024846787449408327,0.0013187262652135131,93
C1=CNCNC1,0.0024619513960242654,0.001507177218817631,62
C1=C[NH]C=C1,0.002446604301839907,0.001341096727350876,112
C1=CN=CNC1,0.0022407174230689468,0.0011971136833547748,56
C1=NCCNCC1,0.002208293057158011,0.0016527750510437142,108
C1=CNCCC1,0.0021716148159147994,0.0011920541316149777,51
C1CSCCN1,0.002120635898043383,0.0017613589868130893,120
C1COCCN1,0.0020681859933360954,0.001050741744561057,91
C1COCN1,0.002063986356366445,0.0012356910614972783,94
C1=CCCN=C1,0.002060467912090146,0.000953308188854598,76
[NH2+]=O,0.00204435860597408,0.0014446605804700786,142
C1=NN=N[NH]1,0.0020149316478914898,0.00392127700778786,86
P,0.0018536798262772942,0.0017713108717841363,53
C1CO1,0.001847317437488529,0.0016090075395520382,62
O=P,0.0018219846031858088,0.0017209211408989631,52
C1CNCN1,0.001804928464831553,0.0010420714190255225,130
C=S,0.001802284614433467,0.0010440873267054346,56
C1=COCC1,0.0017126182298707526,0.0016215587363583373,151
OS,0.0016353885057489826,0.0019027112556152634,75
C1CCCNCC1,0.0014910728162907494,0.0008105024426700301,99
C1CCC1,0.0012359494778165759,0.0008980408489662064,62
C1CNCCNC1,0.0010898003195677463,0.0009086135370601038,69
